,Country,Country Code,Year,GDP,Topic,Gender,PISA-Score
290,Australia,AUS,2006,34306.65231,PISAREAD,BOY,495.0
291,Australia,AUS,2006,34306.65231,PISAREAD,GIRL,532.0
292,Australia,AUS,2006,34306.65231,PISAREAD,TOT,513.0
293,Australia,AUS,2006,34306.65231,PISASCIENCE,BOY,527.0
294,Australia,AUS,2006,34306.65231,PISASCIENCE,GIRL,527.0
295,Australia,AUS,2006,34306.65231,PISASCIENCE,TOT,527.0
296,Austria,AUT,2006,37623.07576,PISAMATH,BOY,517.0
297,Austria,AUT,2006,37623.07576,PISAMATH,GIRL,494.0
298,Austria,AUT,2006,37623.07576,PISAMATH,TOT,505.0
299,Austria,AUT,2006,37623.07576,PISAREAD,BOY,468.0
300,Austria,AUT,2006,37623.07576,PISAREAD,GIRL,513.0
301,Austria,AUT,2006,37623.07576,PISAREAD,TOT,490.0
302,Austria,AUT,2006,37623.07576,PISASCIENCE,BOY,515.0
303,Austria,AUT,2006,37623.07576,PISASCIENCE,GIRL,507.0
304,Austria,AUT,2006,37623.07576,PISASCIENCE,TOT,511.0
305,Belgium,BEL,2006,35222.60515,PISAMATH,BOY,524.0
306,Belgium,BEL,2006,35222.60515,PISAMATH,GIRL,517.0
307,Belgium,BEL,2006,35222.60515,PISAMATH,TOT,520.0
308,Belgium,BEL,2006,35222.60515,PISAREAD,BOY,482.0
309,Belgium,BEL,2006,35222.60515,PISAREAD,GIRL,522.0
310,Belgium,BEL,2006,35222.60515,PISAREAD,TOT,501.0
311,Belgium,BEL,2006,35222.60515,PISASCIENCE,BOY,511.0
312,Belgium,BEL,2006,35222.60515,PISASCIENCE,GIRL,510.0
313,Belgium,BEL,2006,35222.60515,PISASCIENCE,TOT,510.0
314,Brazil,BRA,2006,11659.39278,PISAMATH,BOY,380.0
315,Brazil,BRA,2006,11659.39278,PISAMATH,GIRL,361.0
316,Brazil,BRA,2006,11659.39278,PISAMATH,TOT,370.0
317,Brazil,BRA,2006,11659.39278,PISAREAD,BOY,376.0
318,Brazil,BRA,2006,11659.39278,PISAREAD,GIRL,408.0
319,Brazil,BRA,2006,11659.39278,PISAREAD,TOT,393.0
320,Brazil,BRA,2006,11659.39278,PISASCIENCE,BOY,395.0
321,Brazil,BRA,2006,11659.39278,PISASCIENCE,GIRL,386.0
322,Brazil,BRA,2006,11659.39278,PISASCIENCE,TOT,390.0
323,Canada,CAN,2006,37999.0386,PISAMATH,BOY,534.0
324,Canada,CAN,2006,37999.0386,PISAMATH,GIRL,520.0
325,Canada,CAN,2006,37999.0386,PISAMATH,TOT,527.0
326,Canada,CAN,2006,37999.0386,PISAREAD,BOY,511.0
327,Canada,CAN,2006,37999.0386,PISAREAD,GIRL,543.0
328,Canada,CAN,2006,37999.0386,PISAREAD,TOT,527.0
329,Canada,CAN,2006,37999.0386,PISASCIENCE,BOY,536.0
330,Canada,CAN,2006,37999.0386,PISASCIENCE,GIRL,532.0
331,Canada,CAN,2006,37999.0386,PISASCIENCE,TOT,534.0
332,Switzerland,CHE,2006,45106.41668,PISAMATH,BOY,536.0
333,Switzerland,CHE,2006,45106.41668,PISAMATH,GIRL,523.0
334,Switzerland,CHE,2006,45106.41668,PISAMATH,TOT,530.0
335,Switzerland,CHE,2006,45106.41668,PISAREAD,BOY,484.0
336,Switzerland,CHE,2006,45106.41668,PISAREAD,GIRL,515.0
337,Switzerland,CHE,2006,45106.41668,PISAREAD,TOT,499.0
338,Switzerland,CHE,2006,45106.41668,PISASCIENCE,BOY,514.0
339,Switzerland,CHE,2006,45106.41668,PISASCIENCE,GIRL,509.0
340,Switzerland,CHE,2006,45106.41668,PISASCIENCE,TOT,512.0
341,Chile,CHL,2006,15753.96299,PISAMATH,BOY,424.0
342,Chile,CHL,2006,15753.96299,PISAMATH,GIRL,396.0
343,Chile,CHL,2006,15753.96299,PISAMATH,TOT,411.0
344,Chile,CHL,2006,15753.96299,PISAREAD,BOY,434.0
345,Chile,CHL,2006,15753.96299,PISAREAD,GIRL,451.0
346,Chile,CHL,2006,15753.96299,PISAREAD,TOT,442.0
347,Chile,CHL,2006,15753.96299,PISASCIENCE,BOY,448.0
348,Chile,CHL,2006,15753.96299,PISASCIENCE,GIRL,426.0
349,Chile,CHL,2006,15753.96299,PISASCIENCE,TOT,438.0
350,Czech Republic,CZE,2006,23776.48706,PISAMATH,BOY,514.0
351,Czech Republic,CZE,2006,23776.48706,PISAMATH,GIRL,504.0
352,Czech Republic,CZE,2006,23776.48706,PISAMATH,TOT,510.0
353,Czech Republic,CZE,2006,23776.48706,PISAREAD,BOY,463.0
354,Czech Republic,CZE,2006,23776.48706,PISAREAD,GIRL,509.0
355,Czech Republic,CZE,2006,23776.48706,PISAREAD,TOT,483.0
356,Czech Republic,CZE,2006,23776.48706,PISASCIENCE,BOY,515.0
357,Czech Republic,CZE,2006,23776.48706,PISASCIENCE,GIRL,510.0
358,Czech Republic,CZE,2006,23776.48706,PISASCIENCE,TOT,513.0
359,Germany,DEU,2006,34124.87427,PISAMATH,BOY,513.0
360,Germany,DEU,2006,34124.87427,PISAMATH,GIRL,494.0
361,Germany,DEU,2006,34124.87427,PISAMATH,TOT,504.0
362,Germany,DEU,2006,34124.87427,PISAREAD,BOY,475.0
363,Germany,DEU,2006,34124.87427,PISAREAD,GIRL,517.0
364,Germany,DEU,2006,34124.87427,PISAREAD,TOT,495.0
365,Germany,DEU,2006,34124.87427,PISASCIENCE,BOY,519.0
366,Germany,DEU,2006,34124.87427,PISASCIENCE,GIRL,512.0
367,Germany,DEU,2006,34124.87427,PISASCIENCE,TOT,516.0
368,Denmark,DNK,2006,37295.65935,PISAMATH,BOY,518.0
369,Denmark,DNK,2006,37295.65935,PISAMATH,GIRL,508.0
370,Denmark,DNK,2006,37295.65935,PISAMATH,TOT,513.0
371,Denmark,DNK,2006,37295.65935,PISAREAD,BOY,480.0
372,Denmark,DNK,2006,37295.65935,PISAREAD,GIRL,509.0
373,Denmark,DNK,2006,37295.65935,PISAREAD,TOT,494.0
374,Denmark,DNK,2006,37295.65935,PISASCIENCE,BOY,500.0
375,Denmark,DNK,2006,37295.65935,PISASCIENCE,GIRL,491.0
376,Denmark,DNK,2006,37295.65935,PISASCIENCE,TOT,496.0
377,Spain,ESP,2006,30688.36622,PISAMATH,BOY,484.0
378,Spain,ESP,2006,30688.36622,PISAMATH,GIRL,476.0
379,Spain,ESP,2006,30688.36622,PISAMATH,TOT,480.0
380,Spain,ESP,2006,30688.36622,PISAREAD,BOY,443.0
381,Spain,ESP,2006,30688.36622,PISAREAD,GIRL,479.0
382,Spain,ESP,2006,30688.36622,PISAREAD,TOT,461.0
383,Spain,ESP,2006,30688.36622,PISASCIENCE,BOY,491.0
384,Spain,ESP,2006,30688.36622,PISASCIENCE,GIRL,486.0
385,Spain,ESP,2006,30688.36622,PISASCIENCE,TOT,488.0
386,Estonia,EST,2006,19313.26424,PISAMATH,BOY,515.0
387,Estonia,EST,2006,19313.26424,PISAMATH,GIRL,514.0
388,Estonia,EST,2006,19313.26424,PISAMATH,TOT,515.0
389,Estonia,EST,2006,19313.26424,PISAREAD,BOY,478.0
390,Estonia,EST,2006,19313.26424,PISAREAD,GIRL,524.0
391,Estonia,EST,2006,19313.26424,PISAREAD,TOT,501.0
