,Country,Country Code,year,GDP,LOCATION,INDICATOR,SUBJECT,TIME,Value
222,Mexico,MEX,2003,11482.44959,MEX,PISAMATH,GIRL,2003,380.0
223,Mexico,MEX,2003,11482.44959,MEX,PISAMATH,TOT,2003,385.0
224,Mexico,MEX,2003,11482.44959,MEX,PISAREAD,BOY,2003,389.0
225,Mexico,MEX,2003,11482.44959,MEX,PISAREAD,GIRL,2003,410.0
226,Mexico,MEX,2003,11482.44959,MEX,PISAREAD,TOT,2003,400.0
227,Netherlands,NLD,2003,34111.80335,NLD,PISAMATH,BOY,2003,540.0
228,Netherlands,NLD,2003,34111.80335,NLD,PISAMATH,GIRL,2003,535.0
229,Netherlands,NLD,2003,34111.80335,NLD,PISAMATH,TOT,2003,538.0
230,Netherlands,NLD,2003,34111.80335,NLD,PISAREAD,BOY,2003,503.0
231,Netherlands,NLD,2003,34111.80335,NLD,PISAREAD,GIRL,2003,524.0
232,Netherlands,NLD,2003,34111.80335,NLD,PISAREAD,TOT,2003,513.0
233,Norway,NOR,2003,38550.95539,NOR,PISAMATH,BOY,2003,498.0
234,Norway,NOR,2003,38550.95539,NOR,PISAMATH,GIRL,2003,492.0
235,Norway,NOR,2003,38550.95539,NOR,PISAMATH,TOT,2003,495.0
236,Norway,NOR,2003,38550.95539,NOR,PISAREAD,BOY,2003,475.0
237,Norway,NOR,2003,38550.95539,NOR,PISAREAD,GIRL,2003,525.0
238,Norway,NOR,2003,38550.95539,NOR,PISAREAD,TOT,2003,500.0
239,New Zealand,NZL,2003,23967.42075,NZL,PISAMATH,BOY,2003,531.0
240,New Zealand,NZL,2003,23967.42075,NZL,PISAMATH,GIRL,2003,516.0
241,New Zealand,NZL,2003,23967.42075,NZL,PISAMATH,TOT,2003,523.0
242,New Zealand,NZL,2003,23967.42075,NZL,PISAREAD,BOY,2003,508.0
243,New Zealand,NZL,2003,23967.42075,NZL,PISAREAD,GIRL,2003,535.0
244,New Zealand,NZL,2003,23967.42075,NZL,PISAREAD,TOT,2003,522.0
245,Poland,POL,2003,12257.14487,POL,PISAMATH,BOY,2003,493.0
246,Poland,POL,2003,12257.14487,POL,PISAMATH,GIRL,2003,487.0
247,Poland,POL,2003,12257.14487,POL,PISAMATH,TOT,2003,490.0
248,Poland,POL,2003,12257.14487,POL,PISAREAD,BOY,2003,477.0
249,Poland,POL,2003,12257.14487,POL,PISAREAD,GIRL,2003,516.0
250,Poland,POL,2003,12257.14487,POL,PISAREAD,TOT,2003,497.0
251,Portugal,PRT,2003,20827.98424,PRT,PISAMATH,BOY,2003,472.0
252,Portugal,PRT,2003,20827.98424,PRT,PISAMATH,GIRL,2003,460.0
253,Portugal,PRT,2003,20827.98424,PRT,PISAMATH,TOT,2003,466.0
254,Portugal,PRT,2003,20827.98424,PRT,PISAREAD,BOY,2003,459.0
255,Portugal,PRT,2003,20827.98424,PRT,PISAREAD,GIRL,2003,495.0
256,Portugal,PRT,2003,20827.98424,PRT,PISAREAD,TOT,2003,478.0
257,Russian Federation,RUS,2003,9254.560297,RUS,PISAMATH,BOY,2003,473.0
258,Russian Federation,RUS,2003,9254.560297,RUS,PISAMATH,GIRL,2003,463.0
259,Russian Federation,RUS,2003,9254.560297,RUS,PISAMATH,TOT,2003,468.0
260,Russian Federation,RUS,2003,9254.560297,RUS,PISAREAD,BOY,2003,428.0
261,Russian Federation,RUS,2003,9254.560297,RUS,PISAREAD,GIRL,2003,456.0
262,Russian Federation,RUS,2003,9254.560297,RUS,PISAREAD,TOT,2003,442.0
263,Slovak Republic,SVK,2003,14165.4041,SVK,PISAMATH,BOY,2003,507.0
264,Slovak Republic,SVK,2003,14165.4041,SVK,PISAMATH,GIRL,2003,489.0
265,Slovak Republic,SVK,2003,14165.4041,SVK,PISAMATH,TOT,2003,498.0
266,Slovak Republic,SVK,2003,14165.4041,SVK,PISAREAD,BOY,2003,453.0
267,Slovak Republic,SVK,2003,14165.4041,SVK,PISAREAD,GIRL,2003,486.0
268,Slovak Republic,SVK,2003,14165.4041,SVK,PISAREAD,TOT,2003,469.0
269,Sweden,SWE,2003,31583.04807,SWE,PISAMATH,BOY,2003,512.0
270,Sweden,SWE,2003,31583.04807,SWE,PISAMATH,GIRL,2003,506.0
271,Sweden,SWE,2003,31583.04807,SWE,PISAMATH,TOT,2003,509.0
272,Sweden,SWE,2003,31583.04807,SWE,PISAREAD,BOY,2003,496.0
273,Sweden,SWE,2003,31583.04807,SWE,PISAREAD,GIRL,2003,533.0
274,Sweden,SWE,2003,31583.04807,SWE,PISAREAD,TOT,2003,514.0
275,Turkey,TUR,2003,9603.880437,TUR,PISAMATH,BOY,2003,430.0
276,Turkey,TUR,2003,9603.880437,TUR,PISAMATH,GIRL,2003,415.0
277,Turkey,TUR,2003,9603.880437,TUR,PISAMATH,TOT,2003,423.0
278,Turkey,TUR,2003,9603.880437,TUR,PISAREAD,BOY,2003,426.0
279,Turkey,TUR,2003,9603.880437,TUR,PISAREAD,GIRL,2003,459.0
280,Turkey,TUR,2003,9603.880437,TUR,PISAREAD,TOT,2003,441.0
281,United States,USA,2003,39496.48588,USA,PISAMATH,BOY,2003,486.0
282,United States,USA,2003,39496.48588,USA,PISAMATH,GIRL,2003,480.0
283,United States,USA,2003,39496.48588,USA,PISAMATH,TOT,2003,483.0
284,United States,USA,2003,39496.48588,USA,PISAREAD,BOY,2003,479.0
285,United States,USA,2003,39496.48588,USA,PISAREAD,GIRL,2003,511.0
286,United States,USA,2003,39496.48588,USA,PISAREAD,TOT,2003,495.0
287,Australia,AUS,2006,34306.65231,AUS,PISAMATH,BOY,2006,527.0
288,Australia,AUS,2006,34306.65231,AUS,PISAMATH,GIRL,2006,513.0
289,Australia,AUS,2006,34306.65231,AUS,PISAMATH,TOT,2006,520.0
290,Australia,AUS,2006,34306.65231,AUS,PISAREAD,BOY,2006,495.0
291,Australia,AUS,2006,34306.65231,AUS,PISAREAD,GIRL,2006,532.0
292,Australia,AUS,2006,34306.65231,AUS,PISAREAD,TOT,2006,513.0
293,Australia,AUS,2006,34306.65231,AUS,PISASCIENCE,BOY,2006,527.0
294,Australia,AUS,2006,34306.65231,AUS,PISASCIENCE,GIRL,2006,527.0
295,Australia,AUS,2006,34306.65231,AUS,PISASCIENCE,TOT,2006,527.0
296,Austria,AUT,2006,37623.07576,AUT,PISAMATH,BOY,2006,517.0
297,Austria,AUT,2006,37623.07576,AUT,PISAMATH,GIRL,2006,494.0
298,Austria,AUT,2006,37623.07576,AUT,PISAMATH,TOT,2006,505.0
299,Austria,AUT,2006,37623.07576,AUT,PISAREAD,BOY,2006,468.0
300,Austria,AUT,2006,37623.07576,AUT,PISAREAD,GIRL,2006,513.0
